,product_name,ratings,Prices,description
0,realme Pad 6 GB RAM 128 GB ROM 10.4 inch with Wi-Fi+4G Tablet (Grey),4.4,"Rs 19,999","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB26.42 cm (10.4 inch) Full HD Display8 MP Primary Camera | 8 MP FrontAndroid 11 | Battery: 7100 mAh Lithium IonIdeal Usage: Business, Entertainment, GamingVoice Call (Dual Sim, 4G LTE|GSM)Processor: MediaTek Helio G801 Year Manufacturer"
1,realme Pad 6 GB RAM 128 GB ROM 10.4 inch with Wi-Fi+4G Tablet (Gold),4.4,"Rs 19,999","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB26.42 cm (10.4 inch) Full HD Display8 MP Primary Camera | 8 MP FrontAndroid 11 | Battery: 7100 mAh Lithium IonIdeal Usage: Business, Entertainment, GamingVoice Call (Dual Sim, 4G LTE|GSM)Processor: MediaTek Helio G801 Year Manufacturer"
2,realme Pad 4 GB RAM 64 GB ROM 10.4 inch with Wi-Fi+4G Tablet (Grey),4.4,"Rs 17,999","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB26.42 cm (10.4 inch) WUXGA+ Display8 MP Primary Camera | 8 MP FrontAndroid 11 | Battery: 7100 mAh Lithium IonIdeal Usage: Entertainment, GamingVoice Call (Dual Sim, GSM)Processor: MediaTek Helio G801 Year Manufacturer Warranty"
3,SAMSUNG Galaxy Tab A8 4 GB RAM 64 GB ROM 10.5 inch with Wi-Fi+4G Tablet (Gray),4.3,"Rs 19,999","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB26.67 cm (10.5 inch) Full HD Display8 MP Primary Camera | 5 MP FrontAndroid 11 | Battery: 7040 mAhVoice Call (Single Sim, LTE)Processor: Octa Core1 year manufacturer warranty for Tablet and 6 months warranty for in the box accessories"
4,SAMSUNG Galaxy Tab A8 4 GB RAM 64 GB ROM 10.5 inch with Wi-Fi+4G Tablet (Pink Gold),4.3,"Rs 19,999","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB26.67 cm (10.5 inch) Full HD Display8 MP Primary Camera | 5 MP FrontAndroid 11 | Battery: 7040 mAhVoice Call (Single Sim, LTE)Processor: Octa Core1 Year manufacturer warranty for Tablet and 6 months warranty for in the box accessories"
5,Lenovo Tab M10 4 GB RAM 128 GB ROM 10.3 inch with Wi-Fi+4G Tablet (Platinum Grey),4.1,"Rs 15,999","4 GB RAM | 128 GB ROM | Expandable Upto 2 TB26.16 cm (10.3 inch) Full HD Display8 MP Primary Camera | 5 MP FrontAndroid 9 | Battery: 5000 mAhVoice Call (Single Sim, Wifi, 4G LTE)Processor: MediaTek Helio P22T Tab1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Batteries from the Date of Purchase"
6,MOTOROLA tab g70 LTE 4 GB RAM 64 GB ROM 11 inch with Wi-Fi+4G Tablet (Modernist Teal),4.3,"Rs 19,999","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB27.94 cm (11 inch) 2K Display13 MP Primary CameraAndroid 11 | Battery: 7700 mAh Li-PoIdeal Usage: Business, Reading and BrowsingVoice Call (Single Sim, GSM, LTE, VoLTE)Processor: MediaTek Helio G90T Octa-Core1 Year on Tab device and 6 months on battery and accessories"
7,realme Pad X 4 GB RAM 64 GB ROM 11 inch with Wi-Fi Only Tablet (Glowing Grey),4.4,"Rs 19,999","Compatible with realme pencil and smart keyboard4 GB RAM | 64 GB ROM | Expandable Upto 1 TB27.94 cm (11 inch) WUXGA+ Display13 MP Primary Camera | 8 MP FrontAndroid 12 | Battery: 8340 mAh Lithium IonIdeal Usage: Entertainment, GamingProcessor: Qualcomm Snapdragon 6951 Year Domestic Warranty"
8,realme Pad 3 GB RAM 32 GB ROM 10.4 inch with Wi-Fi+4G Tablet (Gold),4.4,"Rs 15,999","3 GB RAM | 32 GB ROM | Expandable Upto 1 TB26.42 cm (10.4 inch) WUXGA+ Display8 MP Primary Camera | 8 MP FrontAndroid 11 | Battery: 7100 mAh Lithium IonIdeal Usage: Entertainment, GamingVoice Call (Dual Sim, GSM)Processor: MediaTek Helio G801 Year Manufacturer Warranty"
9,MOTOROLA Tab G62 4 GB RAM 64 GB ROM 10.61 inch with Wi-Fi+4G Tablet (Frost Blue),4.1,"Rs 16,999","4 GB RAM | 64 GB ROM26.95 cm (10.61 inch) 2K Display8 MP Primary Camera | 8 MP FrontAndroid 12 | Battery: 7700 mAhIdeal Usage: EntertainmentVoice Call (Single Sim, GSM, LTE, VoLTE)Processor: Snapdragon SDM6801 Year On Tab Device And 6 Months On Battery And Accessories"
